session,periode,candidatures_officielles,candidatures_pdf,ecart_cand,labels_officiels,labels_pdf,ecart_labels,preLabels_officiels,preLabels_pdf,ecart_preLabels,retraits,statut
03/2019,2019-03,16,14,2,12,12,0,0,0,0,0,ecart a expliquer
04/2019,2019-04,51,52,-1,33,33,0,0,0,0,0,ecart a expliquer
05/2019,2019-05,30,30,0,15,15,0,8,8,0,0,coherent
06/2019,2019-06,33,32,1,15,15,0,8,8,0,0,ecart a expliquer
07/2019,2019-07,28,29,-1,15,15,0,8,8,0,0,ecart a expliquer
08/2019,2019-08,28,28,0,24,24,0,7,7,0,0,coherent
09/2019,2019-09,24,27,-3,15,15,0,6,6,0,0,ecart a expliquer
10/2019,2019-10,34,39,-5,23,23,0,4,4,0,0,ecart a expliquer
11/2019,2019-11,35,41,-6,17,17,0,10,10,0,0,ecart a expliquer
12/2019,2019-12,32,42,-10,23,23,0,8,8,0,0,ecart a expliquer
01/2020,2020-01,38,42,-4,18,18,0,11,11,0,0,ecart a expliquer
02/2020,2020-02,32,40,-8,22,22,0,11,11,0,0,ecart a expliquer
03/2020,2020-03,35,39,-4,16,16,0,10,10,0,0,ecart a expliquer
04/2020,2020-04,40,44,-4,20,20,0,7,7,0,1,ecart a expliquer
05/2020,2020-05,26,31,-5,12,12,0,10,10,0,1,ecart a expliquer
06/2020,2020-06,26,30,-4,12,12,0,5,5,0,0,ecart a expliquer
07/2020,2020-07,40,49,-9,18,18,0,7,7,0,2,ecart a expliquer
08/2020,2020-08,28,34,-6,17,17,0,6,6,0,0,ecart a expliquer
09/2020,2020-09,24,18,6,11,11,0,9,9,0,5,ecart a expliquer
10/2020,2020-10,41,23,18,16,16,0,10,10,0,1,ecart a expliquer
11/2020,2020-11,41,39,2,26,26,0,14,14,0,1,ecart a expliquer
12/2020,2020-12,36,36,0,21,21,0,8,8,0,0,coherent
01/2021,2021-01,36,36,0,24,24,0,7,7,0,0,coherent
02/2021,2021-02,41,41,0,25,25,0,7,7,0,0,coherent
03/2021,2021-03,41,41,0,25,25,0,8,8,0,2,coherent
04/2021,2021-04,80,80,0,22,22,0,24,24,0,1,coherent
05/2021,2021-05,40,40,0,19,19,0,8,8,0,1,coherent
06/2021,2021-06,41,40,1,18,18,0,6,6,0,0,ecart a expliquer
07/2021,2021-07,40,38,2,22,22,0,5,5,0,0,ecart a expliquer
08/2021,2021-08,25,25,0,13,13,0,4,4,0,1,coherent
09/2021,2021-09,15,25,-10,13,13,0,6,6,0,0,ecart a expliquer
10/2021,2021-10,41,41,0,23,23,0,7,7,0,0,coherent
11/2021,2021-11,40,40,0,19,19,0,10,10,0,0,coherent
12/2021,2021-12,38,26,12,20,20,0,11,11,0,19,ecart a expliquer
01/2022,2022-01,38,36,2,15,15,0,9,9,0,4,ecart a expliquer
02/2022,2022-02,18,18,0,12,12,0,3,3,0,0,coherent
03/2022,2022-03,21,21,0,14,14,0,5,5,0,0,coherent
04/2022,2022-04,22,22,0,9,9,0,6,6,0,1,coherent
05/2022,2022-05,41,41,0,14,14,0,9,9,0,2,coherent
06/2022,2022-06,40,40,0,14,14,0,10,10,0,2,coherent
07/2022,2022-07,40,40,0,18,18,0,9,9,0,1,coherent
08/2022,2022-08,36,36,0,12,12,0,12,12,0,2,coherent
09/2022,2022-09,40,40,0,19,19,0,5,5,0,0,coherent
10/2022,2022-10,38,38,0,14,14,0,7,7,0,1,coherent
11/2022,2022-11,34,34,0,17,17,0,10,10,0,0,coherent
12/2022,2022-12,30,30,0,17,17,0,5,5,0,0,coherent
01/2023,2023-01,26,26,0,16,16,0,6,6,0,2,coherent
02/2023,2023-02,33,33,0,18,18,0,11,11,0,1,coherent
03/2023,2023-03,37,37,0,13,13,0,6,6,0,0,coherent
04/2023,2023-04,40,40,0,14,14,0,5,5,0,0,coherent
05/2023,2023-05,39,39,0,19,19,0,9,9,0,0,coherent
06/2023,2023-06,28,28,0,10,10,0,8,8,0,0,coherent
07/2023,2023-07,33,31,2,15,15,0,8,8,0,2,ecart a expliquer
08/2023,2023-08,26,26,0,11,11,0,6,6,0,0,coherent
09/2023,2023-09,33,32,1,15,15,0,6,6,0,1,ecart a expliquer
10/2023,2023-10,31,27,4,6,6,0,5,5,0,3,ecart a expliquer
11/2023,2023-11,30,24,6,14,14,0,4,4,0,6,ecart a expliquer
12/2023,2023-12,39,39,0,14,14,0,5,5,0,0,coherent
01/2024,2024-01,33,27,6,14,14,0,6,6,0,3,ecart a expliquer
02/2024,2024-02,33,30,3,9,9,0,6,6,0,3,ecart a expliquer
03/2024,2024-03,31,27,4,7,7,0,7,7,0,3,ecart a expliquer
04/2024,2024-04,39,35,4,14,14,0,5,5,0,2,ecart a expliquer
05/2024,2024-05,39,39,0,14,14,0,5,5,0,2,coherent
06/2024,2024-06,37,35,2,14,14,0,5,5,0,2,ecart a expliquer
07/2024,2024-07,33,29,4,5,5,0,7,7,0,3,ecart a expliquer
08/2024,2024-08,37,33,4,11,11,0,6,6,0,1,ecart a expliquer
09/2024,2024-09,34,33,1,11,11,0,9,9,0,1,ecart a expliquer
10/2024,2024-10,43,39,4,15,15,0,7,7,0,3,ecart a expliquer
11/2024,2024-11,41,39,2,14,14,0,7,7,0,2,ecart a expliquer
12/2024,2024-12,40,38,2,16,16,0,4,4,0,1,ecart a expliquer
01/2025,2025-01,39,37,2,18,18,0,2,2,0,2,ecart a expliquer
02/2025,2025-02,41,37,4,13,13,0,9,9,0,4,ecart a expliquer
03/2025,2025-03,21,20,1,6,6,0,5,5,0,1,ecart a expliquer
04/2025,2025-04,21,12,9,13,13,0,5,5,0,7,ecart a expliquer
05/2025,2025-05,47,46,1,13,13,0,10,10,0,1,ecart a expliquer
06/2025,2025-06,36,35,1,12,12,0,8,8,0,1,ecart a expliquer
07/2025,2025-07,29,23,6,9,9,0,8,8,0,6,ecart a expliquer
08/2025,2025-08,41,37,4,15,15,0,9,9,0,4,ecart a expliquer
09/2025,2025-09,25,21,4,7,7,0,10,10,0,4,ecart a expliquer
10/2025,2025-10,41,38,3,17,17,0,12,12,0,3,ecart a expliquer
11/2025,2025-11,39,37,2,15,15,0,3,3,0,2,ecart a expliquer
12/2025,2025-12,41,36,5,15,15,0,6,6,0,5,ecart a expliquer
01/2026,2026-01,31,25,6,9,9,0,7,7,0,5,ecart a expliquer
02/2026,2026-02,36,34,2,21,21,0,3,3,0,2,ecart a expliquer
03/2026,2026-03,41,35,6,13,13,0,7,7,0,6,ecart a expliquer
04/2026,2026-04,41,38,3,12,12,0,5,5,0,5,ecart a expliquer
05/2026,2026-05,40,34,6,13,13,0,10,10,0,3,ecart a expliquer
06/2026,2026-06,40,38,2,7,7,0,9,9,0,3,ecart a expliquer
