session,officiel,pdf_main_candidatures,ecart,conversions,retraits,statut
03/2019,16,14,-2,0,0,écart -2
04/2019,51,52,1,0,0,écart +1
05/2019,30,30,0,0,0,COHÉRENTE
06/2019,33,32,-1,0,0,écart -1
07/2019,28,29,1,0,0,écart +1
08/2019,28,28,0,0,0,COHÉRENTE
09/2019,24,27,3,0,0,écart +3
10/2019,34,39,5,0,0,écart +5
11/2019,35,41,6,0,0,écart +6
12/2019,32,32,0,10,0,COHÉRENTE
01/2020,38,42,4,0,0,écart +4
02/2020,32,31,-1,9,0,écart -1
03/2020,35,39,4,0,0,écart +4
04/2020,40,45,5,0,0,écart +5
05/2020,26,32,6,0,0,écart +6
06/2020,26,30,4,0,0,écart +4
07/2020,40,40,0,9,2,COHÉRENTE
08/2020,28,34,6,0,0,écart +6
09/2020,24,23,-1,0,0,écart -1
10/2020,41,41,0,7,1,COHÉRENTE
11/2020,41,40,-1,0,0,écart -1
12/2020,36,36,0,0,0,COHÉRENTE
01/2021,36,36,0,0,0,COHÉRENTE
02/2021,41,41,0,7,0,COHÉRENTE
03/2021,41,41,0,13,2,COHÉRENTE
04/2021,80,80,0,0,1,COHÉRENTE
05/2021,40,40,0,6,1,COHÉRENTE
06/2021,41,40,-1,7,0,écart -1
07/2021,40,38,-2,11,0,écart -2
08/2021,25,25,0,7,1,COHÉRENTE
09/2021,15,24,9,13,0,écart +9
10/2021,41,41,0,8,0,COHÉRENTE
11/2021,40,40,0,7,0,COHÉRENTE
12/2021,38,38,0,6,7,COHÉRENTE
01/2022,38,36,-2,6,4,écart -2
02/2022,18,18,0,4,0,COHÉRENTE
03/2022,21,21,0,9,0,COHÉRENTE
04/2022,22,22,0,4,1,COHÉRENTE
05/2022,41,41,0,6,2,COHÉRENTE
06/2022,40,40,0,4,2,COHÉRENTE
07/2022,40,40,0,4,1,COHÉRENTE
08/2022,36,36,0,6,2,COHÉRENTE
09/2022,40,40,0,9,0,COHÉRENTE
10/2022,38,38,0,6,1,COHÉRENTE
11/2022,34,34,0,8,0,COHÉRENTE
12/2022,30,30,0,9,0,COHÉRENTE
01/2023,26,26,0,10,2,COHÉRENTE
02/2023,33,33,0,8,1,COHÉRENTE
03/2023,37,37,0,5,0,COHÉRENTE
04/2023,40,40,0,0,0,COHÉRENTE
05/2023,39,39,0,6,0,COHÉRENTE
06/2023,28,28,0,6,0,COHÉRENTE
07/2023,33,33,0,9,0,COHÉRENTE
08/2023,26,26,0,7,0,COHÉRENTE
09/2023,33,33,0,8,0,COHÉRENTE
10/2023,31,30,-1,1,0,écart -1
11/2023,30,30,0,8,0,COHÉRENTE
12/2023,39,39,0,4,0,COHÉRENTE
01/2024,33,30,-3,6,0,écart -3
02/2024,33,33,0,0,0,COHÉRENTE
03/2024,31,30,-1,4,0,écart -1
04/2024,39,37,-2,5,0,écart -2
05/2024,39,39,0,5,2,COHÉRENTE
06/2024,37,36,-1,3,0,écart -1
07/2024,33,32,-1,2,0,écart -1
08/2024,37,34,-3,5,0,écart -3
09/2024,34,34,0,5,0,COHÉRENTE
10/2024,43,42,-1,6,0,écart -1
11/2024,41,41,0,2,0,COHÉRENTE
12/2024,40,39,-1,0,0,écart -1
01/2025,39,39,0,5,0,COHÉRENTE
02/2025,41,41,0,4,0,COHÉRENTE
03/2025,21,21,0,0,0,COHÉRENTE
04/2025,21,21,0,8,0,COHÉRENTE
05/2025,47,47,0,3,0,COHÉRENTE
06/2025,36,36,0,5,0,COHÉRENTE
07/2025,29,29,0,5,0,COHÉRENTE
08/2025,41,41,0,9,0,COHÉRENTE
09/2025,25,25,0,6,0,COHÉRENTE
10/2025,41,41,0,10,0,COHÉRENTE
11/2025,39,39,0,8,0,COHÉRENTE
12/2025,41,41,0,10,0,COHÉRENTE
01/2026,31,30,-1,7,5,écart -1
02/2026,36,36,0,3,0,COHÉRENTE
03/2026,41,41,0,3,0,COHÉRENTE
04/2026,41,41,0,4,5,COHÉRENTE
05/2026,40,40,0,5,3,COHÉRENTE
06/2026,40,40,0,4,3,COHÉRENTE
