session,officiel,pdf_calc,pdf_reexamen,pdf_section_principal,ligne_table_principale,reportes,conversions,retraits
01/2020,38,38,42,42,42,0,0,0
01/2021,36,36,36,36,36,0,0,0
01/2022,38,38,46,36,36,0,6,4
01/2023,26,26,38,26,26,0,10,2
01/2024,33,33,36,30,30,0,6,0
01/2025,39,39,44,39,39,0,5,0
01/2026,31,30,42,30,30,0,7,5
02/2020,32,32,41,31,32,1,9,0
02/2021,41,41,48,41,41,0,7,0
02/2022,18,18,22,18,18,0,4,0
02/2023,33,33,42,33,33,0,8,1
02/2024,33,33,33,33,33,0,0,0
02/2025,41,41,45,41,41,0,4,0
02/2026,36,36,39,36,36,0,3,0
03/2019,16,16,14,14,14,0,0,0
03/2020,35,35,40,39,40,1,0,0
03/2021,41,41,56,41,41,0,13,2
03/2022,21,21,30,21,21,0,9,0
03/2023,37,37,42,37,37,0,5,0
03/2024,31,31,34,30,30,0,4,0
03/2025,21,21,21,21,21,0,0,0
03/2026,41,41,44,41,41,0,3,0
04/2019,51,51,52,52,52,0,0,0
04/2020,40,40,45,45,45,0,0,0
04/2021,80,80,81,80,80,0,0,1
04/2022,22,22,27,22,22,0,4,1
04/2023,40,40,40,40,40,0,0,0
04/2024,39,39,42,37,37,0,5,0
04/2025,21,21,29,21,21,0,8,0
04/2026,41,41,50,41,41,0,4,5
05/2019,30,30,30,30,30,0,0,0
05/2020,26,26,32,32,32,0,0,0
05/2021,40,40,47,40,40,0,6,1
05/2022,41,41,49,41,41,0,6,2
05/2023,39,39,45,39,39,0,6,0
05/2024,39,39,46,39,39,0,5,2
05/2025,47,47,50,47,47,0,3,0
05/2026,40,40,48,40,40,0,5,3
06/2019,33,33,32,32,32,0,0,0
06/2020,26,26,30,30,30,0,0,0
06/2021,41,41,47,40,40,0,7,0
06/2022,40,40,46,40,40,0,4,2
06/2023,28,28,34,28,28,0,6,0
06/2024,37,37,40,36,37,1,3,0
06/2025,36,36,41,36,36,0,5,0
06/2026,40,40,47,40,40,0,4,3
07/2019,28,28,29,29,29,0,0,0
07/2020,40,40,51,40,40,0,9,2
07/2021,40,40,50,38,39,1,11,0
07/2022,40,40,45,40,40,0,4,1
07/2023,33,33,42,33,33,0,9,0
07/2024,33,33,34,32,32,0,2,0
07/2025,29,29,34,29,29,0,5,0
08/2019,28,28,28,28,28,0,0,0
08/2020,28,28,34,34,34,0,0,0
08/2021,25,25,33,25,25,0,7,1
08/2022,36,36,44,36,36,0,6,2
08/2023,26,26,33,26,26,0,7,0
08/2024,37,37,39,34,34,0,5,0
08/2025,41,41,50,41,41,0,9,0
09/2019,24,24,27,27,27,0,0,0
09/2020,24,24,23,23,23,0,0,0
09/2021,15,15,38,24,25,1,13,0
09/2022,40,40,49,40,40,0,9,0
09/2023,33,33,41,33,33,0,8,0
09/2024,34,34,39,34,34,0,5,0
09/2025,25,25,31,25,25,0,6,0
10/2019,34,34,39,39,39,0,0,0
10/2020,41,41,49,41,41,0,7,1
10/2021,41,41,49,41,41,0,8,0
10/2022,38,38,45,38,38,0,6,1
10/2023,31,31,31,30,30,0,1,0
10/2024,43,43,49,42,43,1,6,0
10/2025,41,41,51,41,41,0,10,0
11/2019,35,35,41,41,41,0,0,0
11/2020,41,41,40,40,40,0,0,0
11/2021,40,40,47,40,40,0,7,0
11/2022,34,34,42,34,34,0,8,0
11/2023,30,30,38,30,30,0,8,0
11/2024,41,41,43,41,41,0,2,0
11/2025,39,39,47,39,39,0,8,0
12/2019,32,32,42,32,32,0,10,0
12/2020,36,36,36,36,36,0,0,0
12/2021,38,38,51,38,38,0,6,7
12/2022,30,30,39,30,30,0,9,0
12/2023,39,39,43,39,39,0,4,0
12/2024,40,40,39,39,39,0,0,0
12/2025,41,41,51,41,41,0,10,0
