session;session_number;official_candidatures;official_labels;official_prelabels;detailed_entries;detailed_label_accorde;detailed_prelabel_accorde;detailed_label_non_accorde;detailed_prelabel_non_accorde;detailed_retrait;detailed_reporte;detailed_pitch_decale;detailed_inconnu
03/2019;0;16;12;0;14;12;0;2;0;0;0;0;0
04/2019;1;51;33;0;52;33;0;19;0;0;0;0;0
05/2019;2;30;15;8;30;15;8;6;1;0;0;0;0
06/2019;3;33;15;8;32;16;6;9;1;0;0;0;0
07/2019;4;28;15;8;29;14;8;4;3;0;0;0;0
08/2019;5;28;24;7;28;20;5;0;3;0;0;0;0
09/2019;6;24;15;6;27;12;9;2;4;0;0;0;0
10/2019;7;34;23;4;39;18;10;6;5;0;0;0;0
11/2019;8;35;17;10;41;11;16;4;10;0;0;0;0
12/2019;9;32;23;8;42;13;18;5;6;0;0;0;0
01/2020;10;38;18;11;42;14;15;9;4;0;0;0;0
02/2020;11;32;22;11;41;13;20;4;3;0;1;0;0
03/2020;12;35;16;10;40;12;14;7;6;0;1;0;0
04/2020;13;40;20;7;45;17;10;9;8;1;0;0;0
05/2020;14;26;12;10;32;7;15;4;5;1;0;0;0
06/2020;15;26;12;5;30;12;5;4;9;0;0;0;0
07/2020;16;40;18;7;51;9;0;20;20;2;0;0;0
08/2020;17;28;17;6;34;12;0;10;12;0;0;0;0
09/2020;18;24;11;9;23;8;0;0;15;0;0;0;0
10/2020;19;41;16;10;24;13;0;0;11;0;0;0;0
11/2020;20;41;26;14;40;14;2;12;12;0;0;0;0
12/2020;21;36;21;8;36;0;0;21;15;0;0;0;0
01/2021;22;36;24;7;36;15;7;5;9;0;0;0;0
02/2021;23;41;25;7;48;25;10;7;6;0;0;0;0
03/2021;24;41;25;8;56;25;8;8;13;2;0;0;0
04/2021;25;80;22;24;81;18;24;7;31;1;0;0;0
05/2021;26;40;19;8;47;19;8;7;12;1;0;0;0
06/2021;27;41;18;6;47;18;6;10;13;0;0;0;0
07/2021;28;40;22;5;50;21;5;8;15;0;1;0;0
08/2021;29;25;13;4;33;13;4;9;6;1;0;0;0
09/2021;30;15;13;6;38;15;7;3;13;0;0;0;0
10/2021;31;41;23;7;49;23;7;2;17;0;0;0;0
11/2021;32;40;19;10;47;19;10;3;15;0;0;0;0
12/2021;33;38;20;11;51;20;11;4;9;7;0;0;0
01/2022;34;38;15;9;46;15;8;9;10;4;0;0;0
02/2022;35;18;12;3;22;12;3;2;5;0;0;0;0
03/2022;36;21;14;5;30;14;5;5;6;0;0;0;0
04/2022;37;22;9;6;27;9;6;5;6;1;0;0;0
05/2022;38;41;14;9;49;14;9;12;12;2;0;0;0
06/2022;39;40;14;10;46;14;10;10;10;2;0;0;0
07/2022;40;40;18;9;45;18;9;2;15;1;0;0;0
08/2022;41;36;12;12;44;12;12;10;8;2;0;0;0
09/2022;42;40;19;5;49;19;5;10;15;0;0;0;0
10/2022;43;38;14;7;45;14;7;10;13;1;0;0;0
11/2022;44;34;17;10;42;17;10;5;10;0;0;0;0
12/2022;45;30;17;5;39;16;5;5;13;0;0;0;0
01/2023;46;26;16;6;38;16;6;9;5;2;0;0;0
02/2023;47;33;18;11;42;15;11;7;8;1;0;0;0
03/2023;48;37;13;6;42;14;6;7;15;0;0;0;0
04/2023;49;40;14;5;40;9;5;11;15;0;0;0;0
05/2023;50;39;19;9;45;19;8;6;12;0;0;0;0
06/2023;51;28;10;8;34;10;8;4;12;0;0;0;0
07/2023;52;33;15;8;42;15;8;7;12;0;0;0;0
08/2023;53;26;11;6;33;11;5;2;15;0;0;0;0
09/2023;54;33;15;6;41;15;6;5;15;0;0;0;0
10/2023;55;31;6;5;31;6;4;6;15;0;0;0;0
11/2023;56;30;14;4;38;12;7;2;17;0;0;0;0
12/2023;57;39;14;5;43;11;5;12;15;0;0;0;0
01/2024;58;33;14;6;36;14;4;5;13;0;0;0;0
02/2024;59;33;9;6;33;4;6;9;14;0;0;0;0
03/2024;60;31;7;7;34;7;7;8;12;0;0;0;0
04/2024;61;39;14;5;42;14;5;8;15;0;0;0;0
05/2024;62;39;14;5;46;14;5;11;14;2;0;0;0
06/2024;63;37;14;5;40;14;5;5;15;0;0;1;0
07/2024;64;33;5;7;34;6;7;9;12;0;0;0;0
08/2024;65;37;11;6;39;9;6;8;16;0;0;0;0
09/2024;66;34;11;9;39;11;9;7;12;0;0;0;0
10/2024;67;43;15;7;49;15;7;10;16;0;1;0;0
11/2024;68;41;14;7;43;14;7;9;13;0;0;0;0
12/2024;69;40;16;4;39;10;4;8;17;0;0;0;0
01/2025;70;39;18;2;44;13;2;11;18;0;0;0;0
02/2025;71;41;13;9;45;13;9;9;14;0;0;0;0
03/2025;72;21;6;5;21;6;5;4;6;0;0;0;0
04/2025;73;21;13;5;27;13;4;4;6;0;0;0;0
05/2025;74;47;13;10;50;13;13;9;15;0;0;0;0
06/2025;75;36;12;8;41;12;8;9;12;0;0;0;0
