company_id;company_name;sector;session
C0001;Datavora;E-Commerce;03/2019
C0002;Enova Robotics;Industrie Robotique;03/2019
C0003;Ezzayra Solutions;AgriTech;03/2019
C0004;Polysmart;Gaming;03/2019
C0005;Be Wireless Solutions;IOT;03/2019
C0006;Medilsys;HealthTech;03/2019
C0007;Roamsmart;Telecom;03/2019
C0008;Vitalight Lab;E-Commerce;03/2019
C0009;Dabchy;E-Commerce;03/2019
C0010;Next Gen Corp;EdTech;03/2019
C0011;Nostatik Media;PharmaTech;03/2019
C0012;Paypos Tunisie;FinTech;03/2019
C0013;Foua Shop;E-Commerce;03/2019
C0014;Mitigan;FinTech;03/2019
C0015;GoMyCode;EdTech;04/2019
C0016;Mass SA;AI;04/2019
C0017;STE Kaoun;Fintech;04/2019
C0018;Apprentus Tunisie;EdTech;04/2019
C0019;Bus Software;IoT;04/2019
C0020;ilboursa.com;IT;04/2019
C0021;Methania Industries;Energie;04/2019
C0022;Wattnow;IoT;04/2019
C0023;TechAccessibility;IT;04/2019
C0024;Taysir Solutions Tunisia;IT;04/2019
C0025;UniQ Soft Technology;IT;04/2019
C0026;Armani Arabic Academy;EdTech;04/2019
C0027;Dqlick;Insurance Tech;04/2019
C0028;KNSD;Big Data;04/2019
C0029;MedCREtech;Blockchain;04/2019
C0030;Novel-Ti;AI;04/2019
C0031;PEAK Technologies;Fintech;04/2019
C0032;Smart and Clean;Cleantech;04/2019
C0033;Tadeco IT;E-Commerce;04/2019
C0034;TechAbility;IoT;04/2019
C0035;Expensya (Pepino Tech);E-Commerce;04/2019
C0036;Smart Mobility;IoT;04/2019
C0037;Educanet;EdTech;04/2019
C0038;Study.tn;E-Learning;04/2019
C0039;Tunisie Matériel Roulant;Marketing;04/2019
C0040;Embedded Solutions and Advanced Technology;IoT;04/2019
C0041;Inotek engineering;IoT;04/2019
C0042;Paymee;Fintech;04/2019
C0043;Healthcare Anywhere;Health Tech;04/2019
C0044;TunRooms;E-Commerce;04/2019
C0045;Galactech;Telcom;04/2019
C0046;Domodar;IoT;04/2019
C0047;Vynd;E-Commerce;04/2019
C0048;Empire communication;Services;04/2019
C0049;3D Forge;Services;04/2019
C0050;Africa Flying and Engineering;AgriTech;04/2019
C0051;Ticket Communication TICOM;Marketing;04/2019
C0052;TeTa concept;Services;04/2019
C0053;WeMake;Services;04/2019
C0054;Micro Device Tunisia;IoT;04/2019
C0055;Kiwi Softwares;IT;04/2019
C0056;Tunisie Co;Services;04/2019
C0057;Best Way;Marketing;04/2019
C0058;ComEngineering;IoT;04/2019
C0059;Testafid+;E-Commerce;04/2019
C0060;Afrique Charbon;Energie;04/2019
C0061;Ironhoster;E-Commerce;04/2019
C0062;Boostiny;Marketing;04/2019
C0063;Forevermo (Paravoisin);Health Tech;04/2019
C0064;Supply Air;Services;04/2019
C0065;Sawsan Bellaj Training & Consulting;E-Commerce;04/2019
C0066;Casual Bet;Gaming;04/2019
C0067;TakiAcademy;EdTech;05/2019
C0068;Deli Solutions;E-Commerce;05/2019
C0069;NewGen;Gaming;05/2019
C0070;InstaDeep;AI;05/2019
C0071;Lifeye;Agritech;05/2019
C0072;Echo;IT;05/2019
C0073;Seemba Gaming;Gaming;05/2019
C0074;WeCode Land;EdTech;05/2019
C0075;Smart Med SA;Plateforme Sociale;05/2019
C0076;Société STBI;Autre contenu créatif;05/2019
C0077;Actifs Précieux Apex S.A;Biotechnologie;05/2019
