decision_id;company_name;founder_name;session
S0_D0001;Datavora;Hadi Zaher;03/2019
S0_D0001;Datavora;Oussama Messaoud;03/2019
S0_D0002;Enova Robotics;Anis Sahbani;03/2019
S0_D0002;Enova Robotics;Philippe Bidaud;03/2019
S0_D0002;Enova Robotics;Christophe Grand;03/2019
S0_D0003;Ezzayra Solutions;Yasser Bououd;03/2019
S0_D0004;Polysmart;Ahmed Cheikhrouhou;03/2019
S0_D0004;Polysmart;Haroun Bouchrit;03/2019
S0_D0005;Be Wireless Solutions;Karim Kharrat;03/2019
S0_D0005;Be Wireless Solutions;Nizar Ghram;03/2019
S0_D0005;Be Wireless Solutions;Sofiene Ghram;03/2019
S0_D0006;Medilsys;Anis Ghorbel;03/2019
S0_D0006;Medilsys;Najmeddine Nouri;03/2019
S0_D0006;Medilsys;Sofiene Ghorbel;03/2019
S0_D0007;Roamsmart;Walid Chamekh;03/2019
S0_D0007;Roamsmart;Mehdi Triki;03/2019
S0_D0008;Vitalight Lab;Khaoula Ben Slimane;03/2019
S0_D0008;Vitalight Lab;Ilyes Gouja;03/2019
S0_D0009;Dabchy;Ghazi Ketata;03/2019
S0_D0009;Dabchy;Ameni Mansouri;03/2019
S0_D0009;Dabchy;Oussama Mahjoub;03/2019
S0_D0010;Next Gen Corp;Moez Lachned;03/2019
S0_D0010;Next Gen Corp;Ahmed Nabli;03/2019
S0_D0011;Nostatik Media;Khaled Frad;03/2019
S0_D0011;Nostatik Media;Ramzi Mrad;03/2019
S0_D0012;Paypos Tunisie;Khatib Chakchouk;03/2019
S0_D0013;Foua Shop;Karim Skik;03/2019
S0_D0014;Mitigan;Omar El Matri;03/2019
S0_D0014;Mitigan;Ahmed Farhat;03/2019
S0_D0014;Mitigan;Kais Laouiti;03/2019
S0_D0014;Mitigan;Elyes Jouini;03/2019
S0_D0014;Mitigan;Hemdene Ben Othmane;03/2019
S0_D0014;Mitigan;Mohamed Ali Elloumi;03/2019
S1_D0001;GoMyCode;Yahya Bouhlel;04/2019
S1_D0001;GoMyCode;Amine Bouhlel;04/2019
S1_D0002;Mass SA;Ramla Jarrar;04/2019
S1_D0002;Mass SA;Firas Jabloun;04/2019
S1_D0003;STE Kaoun;Nebras Jemel;04/2019
S1_D0003;STE Kaoun;Anis Kallel;04/2019
S1_D0003;STE Kaoun;Rostom Bouazizi;04/2019
S1_D0004;Apprentus Tunisie;Gaetan Deremince;04/2019
S1_D0004;Apprentus Tunisie;Marius Andra;04/2019
S1_D0005;Bus Software;Amor Sahnoun;04/2019
S1_D0005;Bus Software;Makrem Erguez;04/2019
S1_D0006;ilboursa.com;Ismail Ben Sassi;04/2019
S1_D0006;ilboursa.com;Rodolphe Villaes;04/2019
S1_D0007;Methania Industries;Selim Kanzari;04/2019
S1_D0007;Methania Industries;Tahar Azizi;04/2019
S1_D0008;Wattnow;Issam Smaali;04/2019
S1_D0009;TechAccessibility;Mohamed Nour Ben Yahia;04/2019
S1_D0010;Taysir Solutions Tunisia;Mohamed Belghith;04/2019
S1_D0010;Taysir Solutions Tunisia;Fakhreddine Hachfi;04/2019
S1_D0011;UniQ Soft Technology;Bechir Yakhlef;04/2019
S1_D0012;Armani Arabic Academy;Salwa Armani;04/2019
