session_id;session;candidatures;entries;labels;preLabels;conversions;retraits;reportes;newLabels;tauxPct;candidatures_definition;candidatures_officielles;candidatures_pdf_calculees;ecart_candidatures_pdf_officiel;formule_candidatures_pdf
;03/2019;16;14;12;0;0;0;0;12;75.0;;16;14;-2;lignes_pdf - conversions - retraits - reportes
;04/2019;51;52;33;0;0;0;0;33;64.71;;51;52;1;lignes_pdf - conversions - retraits - reportes
;05/2019;30;30;15;8;0;0;0;15;50.0;;30;30;0;lignes_pdf - conversions - retraits - reportes
;06/2019;33;32;15;8;0;0;0;15;45.45;;33;32;-1;lignes_pdf - conversions - retraits - reportes
;07/2019;28;29;15;8;0;0;0;15;53.57;;28;29;1;lignes_pdf - conversions - retraits - reportes
;08/2019;28;28;24;7;0;0;0;24;85.71;;28;28;0;lignes_pdf - conversions - retraits - reportes
;09/2019;24;27;15;6;0;0;0;15;62.5;;24;27;3;lignes_pdf - conversions - retraits - reportes
;10/2019;34;39;23;4;0;0;0;23;67.65;;34;39;5;lignes_pdf - conversions - retraits - reportes
;11/2019;35;41;17;10;0;0;0;17;48.57;;35;41;6;lignes_pdf - conversions - retraits - reportes
;12/2019;32;42;23;8;0;0;0;23;71.88;;32;42;10;lignes_pdf - conversions - retraits - reportes
;01/2020;38;42;18;11;0;0;0;18;47.37;;38;42;4;lignes_pdf - conversions - retraits - reportes
;02/2020;32;41;22;11;0;0;1;22;68.75;;32;40;8;lignes_pdf - conversions - retraits - reportes
;03/2020;35;40;16;10;0;0;1;16;45.71;;35;39;4;lignes_pdf - conversions - retraits - reportes
;04/2020;40;45;20;7;0;1;0;20;50.0;;40;44;4;lignes_pdf - conversions - retraits - reportes
;05/2020;26;32;12;10;0;1;0;12;46.15;;26;31;5;lignes_pdf - conversions - retraits - reportes
;06/2020;26;30;12;5;0;0;0;12;46.15;;26;30;4;lignes_pdf - conversions - retraits - reportes
;07/2020;40;51;18;7;0;2;0;18;45.0;;40;49;9;lignes_pdf - conversions - retraits - reportes
;08/2020;28;34;17;6;0;0;0;17;60.71;;28;34;6;lignes_pdf - conversions - retraits - reportes
;09/2020;24;23;11;9;0;5;0;11;45.83;;24;18;-6;lignes_pdf - conversions - retraits - reportes
;10/2020;41;24;16;10;0;1;0;16;39.02;;41;23;-18;lignes_pdf - conversions - retraits - reportes
;11/2020;41;40;26;14;0;1;0;26;63.41;;41;39;-2;lignes_pdf - conversions - retraits - reportes
;12/2020;36;36;21;8;0;0;0;21;58.33;;36;36;0;lignes_pdf - conversions - retraits - reportes
