session_id;session;candidatures_officiel;candidatures_corrigees_pdf;ecart_candidatures;labels_officiel;labels_corriges;preLabels_officiel;preLabels_corriges;lignes_pdf;reportes_pdf;retraits_pdf;decisions_non_precisees;statut
S0;03/2019;16;14;-2;12;12;0;0;14;0;0;0;Conforme
S1;04/2019;51;52;1;33;33;0;0;52;0;0;0;Conforme
S2;05/2019;30;30;0;15;15;8;8;30;0;0;0;Conforme
S3;06/2019;33;32;-1;15;14;8;8;32;0;0;0;Conforme
S4;07/2019;28;29;1;15;14;8;8;29;0;0;0;Conforme
S5;08/2019;28;28;0;24;20;7;5;28;0;0;0;Conforme
S6;09/2019;24;27;3;15;15;6;6;27;0;0;0;Conforme
S7;10/2019;34;39;5;23;23;4;5;39;0;0;0;Conforme
S8;11/2019;35;41;6;17;17;10;10;41;0;0;0;Conforme
S9;12/2019;32;42;10;23;23;8;8;42;0;0;0;Réextrait PDF — section conversion séparée
S10;01/2020;38;42;4;18;18;11;11;42;0;0;0;Conforme
S11;02/2020;32;41;9;22;22;11;11;41;1;0;0;Réextrait PDF — section conversion séparée
S12;03/2020;35;40;5;16;16;10;10;40;1;0;0;Reporté détecté dans les lignes détaillées
S13;04/2020;40;45;5;20;20;7;7;45;0;1;0;Conforme
S14;05/2020;26;32;6;12;12;10;10;32;0;1;0;Conforme
S15;06/2020;26;30;4;12;12;5;5;30;0;0;0;Conforme
S16;07/2020;40;51;11;18;18;7;7;51;0;2;0;Réextrait PDF — OCR visuelle vérifiée
S17;08/2020;28;34;6;17;17;6;6;34;0;0;0;Conforme
S18;09/2020;24;23;-1;11;11;9;9;23;0;0;0;Conforme
S19;10/2020;41;49;8;16;16;10;10;49;0;1;0;Réextrait PDF — cohérent
S20;11/2020;41;40;-1;26;26;14;14;40;0;0;0;Conforme
S21;12/2020;36;36;0;21;21;8;8;36;0;0;0;Conforme
S22;01/2021;36;36;0;24;24;7;7;36;0;0;0;Conforme
S23;02/2021;41;48;7;25;25;7;10;48;0;0;0;Conforme
S24;03/2021;41;56;15;25;25;8;8;56;0;2;0;Conforme
S25;04/2021;80;81;1;22;22;24;24;81;0;1;0;Conforme
S26;05/2021;40;47;7;19;19;8;8;47;0;1;0;Conforme
S27;06/2021;41;47;6;18;18;6;6;47;0;0;0;Conforme
S28;07/2021;40;50;10;22;22;5;5;50;1;0;0;Reporté détecté dans les lignes détaillées
S29;08/2021;25;33;8;13;13;4;4;33;0;1;0;Conforme
S30;09/2021;15;38;23;13;15;6;6;38;1;0;0;Reporté documenté par PDF
S31;10/2021;41;49;8;23;23;7;7;49;0;0;0;Conforme
S32;11/2021;40;47;7;19;19;10;10;47;0;0;0;Conforme
S33;12/2021;38;51;13;20;20;11;11;51;0;7;0;Conforme
S34;01/2022;38;46;8;15;15;9;9;46;0;4;0;Conforme
S35;02/2022;18;22;4;12;12;3;3;22;0;0;0;Conforme
