session_id;session;candidatures;entries;labels;preLabels;conversions;retraits;reportes;newLabels;tauxPct;candidatures_definition
S0;03/2019;16;14;12;0;0;0;0;12;75.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S1;04/2019;51;52;33;0;0;0;0;33;64.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S2;05/2019;30;30;15;8;0;0;0;15;50.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S3;06/2019;33;32;15;8;0;0;0;15;45.45;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S4;07/2019;28;29;15;8;0;0;0;15;53.57;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S5;08/2019;28;28;24;7;0;0;0;24;85.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S6;09/2019;24;27;15;6;0;0;0;15;62.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S7;10/2019;34;39;23;4;0;0;0;23;67.65;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S8;11/2019;35;41;17;10;0;0;0;17;48.57;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S9;12/2019;32;42;23;8;10;0;0;13;71.88;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S10;01/2020;38;42;18;11;0;0;0;18;47.37;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S11;02/2020;32;41;22;11;9;0;1;13;68.75;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S12;03/2020;35;40;16;10;0;0;1;16;45.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S13;04/2020;40;45;20;7;0;1;0;20;50.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S14;05/2020;26;32;12;10;0;1;0;12;46.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S15;06/2020;26;30;12;5;0;0;0;12;46.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S16;07/2020;40;51;18;7;9;2;0;9;45.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S17;08/2020;28;34;17;6;0;0;0;17;60.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S18;09/2020;24;23;11;9;0;5;0;11;45.83;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S19;10/2020;41;49;16;10;7;1;0;9;39.02;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S20;11/2020;41;40;26;14;0;1;0;26;63.41;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S21;12/2020;36;36;21;8;0;0;0;21;58.33;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S22;01/2021;36;36;24;7;0;0;0;24;66.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S23;02/2021;41;48;25;7;7;0;0;18;60.98;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S24;03/2021;41;56;25;8;13;2;0;12;60.98;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S25;04/2021;80;81;22;24;0;1;0;22;27.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S26;05/2021;40;47;19;8;6;1;0;13;47.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S27;06/2021;41;47;18;6;7;0;0;11;43.9;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S28;07/2021;40;50;22;5;11;0;1;11;55.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S29;08/2021;25;33;13;4;7;1;0;6;52.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S30;09/2021;15;38;13;6;13;0;1;0;86.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S31;10/2021;41;49;23;7;8;0;0;15;56.1;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S32;11/2021;40;47;19;10;7;0;0;12;47.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S33;12/2021;38;51;20;11;6;19;0;14;52.63;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S34;01/2022;38;46;15;9;6;4;0;9;39.47;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S35;02/2022;18;22;12;3;4;0;0;8;66.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S36;03/2022;21;30;14;5;9;0;0;5;66.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S37;04/2022;22;27;9;6;4;1;0;5;40.91;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S38;05/2022;41;49;14;9;6;2;0;8;34.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S39;06/2022;40;46;14;10;4;2;0;10;35.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S40;07/2022;40;45;18;9;4;1;0;14;45.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S41;08/2022;36;44;12;12;6;2;0;6;33.33;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S42;09/2022;40;49;19;5;9;0;0;10;47.5;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S43;10/2022;38;45;14;7;6;1;0;8;36.84;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S44;11/2022;34;42;17;10;8;0;0;9;50.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S45;12/2022;30;39;17;5;9;0;0;8;56.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S46;01/2023;26;38;16;6;10;2;0;6;61.54;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S47;02/2023;33;42;18;11;8;1;0;10;54.55;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S48;03/2023;37;42;13;6;5;0;0;8;35.14;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S49;04/2023;40;40;14;5;0;0;0;14;35.0;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S50;05/2023;39;45;19;9;6;0;0;13;48.72;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S51;06/2023;28;34;10;8;6;0;0;4;35.71;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S52;07/2023;33;42;15;8;9;2;0;6;45.45;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S53;08/2023;26;33;11;6;7;0;0;4;42.31;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S54;09/2023;33;41;15;6;8;1;0;7;45.45;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S55;10/2023;31;31;6;5;1;3;0;5;19.35;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S56;11/2023;30;38;14;4;8;6;0;6;46.67;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S57;12/2023;39;43;14;5;4;0;0;10;35.9;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S58;01/2024;33;36;14;6;6;3;0;8;42.42;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S59;02/2024;33;33;9;6;0;3;0;9;27.27;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S60;03/2024;31;34;7;7;4;3;0;3;22.58;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S61;04/2024;39;42;14;5;5;2;0;9;35.9;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S62;05/2024;39;46;14;5;0;2;0;14;35.9;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S63;06/2024;37;40;14;5;3;2;0;11;37.84;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S64;07/2024;33;34;5;7;2;3;0;3;15.15;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
S65;08/2024;37;39;11;6;5;1;0;6;29.73;"Compteur officiel publié par session; les lignes détaillées PDF sont une série distincte."
