company_id;founder_id;session_id;founder_raw;quality
C0001;F0001;S0;Hadi Zaher;Extrait PDF/JSON
C0001;F0002;S0;Oussama Messaoud;Extrait PDF/JSON
C0002;F0003;S0;Anis Sahbani;Extrait PDF/JSON
C0002;F0004;S0;Philippe Bidaud;Extrait PDF/JSON
C0002;F0005;S0;Christophe Grand;Extrait PDF/JSON
C0003;F0006;S0;Yasser Bououd;Extrait PDF/JSON
C0004;F0007;S0;Ahmed Cheikhrouhou;Extrait PDF/JSON
C0004;F0008;S0;Haroun Bouchrit;Extrait PDF/JSON
C0005;F0009;S0;Karim Kharrat;Extrait PDF/JSON
C0005;F0010;S0;Nizar Ghram;Extrait PDF/JSON
C0005;F0011;S0;Sofiene Ghram;Extrait PDF/JSON
C0006;F0012;S0;Anis Ghorbel;Extrait PDF/JSON
C0006;F0013;S0;Najmeddine Nouri;Extrait PDF/JSON
C0006;F0014;S0;Sofiene Ghorbel;Extrait PDF/JSON
C0007;F0015;S0;Walid Chamekh;Extrait PDF/JSON
C0007;F0016;S0;Mehdi Triki;Extrait PDF/JSON
C0008;F0017;S0;Khaoula Ben Slimane;Extrait PDF/JSON
C0008;F0018;S0;Ilyes Gouja;Extrait PDF/JSON
C0009;F0019;S0;Ghazi Ketata;Extrait PDF/JSON
C0009;F0020;S0;Ameni Mansouri;Extrait PDF/JSON
C0009;F0021;S0;Oussama Mahjoub;Extrait PDF/JSON
C0010;F0022;S0;Moez Lachned;Extrait PDF/JSON
C0010;F0023;S0;Ahmed Nabli;Extrait PDF/JSON
C0011;F0024;S0;Khaled Frad;Extrait PDF/JSON
C0011;F0025;S0;Ramzi Mrad;Extrait PDF/JSON
C0012;F0026;S0;Khatib Chakchouk;Extrait PDF/JSON
C0013;F0027;S0;Karim Skik;Extrait PDF/JSON
C0014;F0028;S0;Omar El Matri;Extrait PDF/JSON
C0014;F0029;S0;Ahmed Farhat;Extrait PDF/JSON
C0014;F0030;S0;Kais Laouiti;Extrait PDF/JSON
C0014;F0031;S0;Elyes Jouini;Extrait PDF/JSON
C0014;F0032;S0;Hemdene Ben Othmane;Extrait PDF/JSON
C0014;F0033;S0;Mohamed Ali Elloumi;Extrait PDF/JSON
C0015;F0034;S1;Yahya Bouhlel;Extrait PDF/JSON
C0015;F0035;S1;Amine Bouhlel;Extrait PDF/JSON
C0016;F0036;S1;Ramla Jarrar;Extrait PDF/JSON
C0016;F0037;S1;Firas Jabloun;Extrait PDF/JSON
C0017;F0038;S1;Nebras Jemel;Extrait PDF/JSON
C0017;F0039;S1;Anis Kallel;Extrait PDF/JSON
C0017;F0040;S1;Rostom Bouazizi;Extrait PDF/JSON
C0018;F0041;S1;Gaetan Deremince;Extrait PDF/JSON
C0018;F0042;S1;Marius Andra;Extrait PDF/JSON
C0019;F0043;S1;Amor Sahnoun;Extrait PDF/JSON
C0019;F0044;S1;Makrem Erguez;Extrait PDF/JSON
C0020;F0045;S1;Ismail Ben Sassi;Extrait PDF/JSON
C0020;F0046;S1;Rodolphe Villaes;Extrait PDF/JSON
C0021;F0047;S1;Selim Kanzari;Extrait PDF/JSON
C0021;F0048;S1;Tahar Azizi;Extrait PDF/JSON
C0022;F0049;S1;Issam Smaali;Extrait PDF/JSON
C0023;F0050;S1;Mohamed Nour Ben Yahia;Extrait PDF/JSON
C0024;F0051;S1;Mohamed Belghith;Extrait PDF/JSON
C0024;F0052;S1;Fakhreddine Hachfi;Extrait PDF/JSON
C0025;F0053;S1;Bechir Yakhlef;Extrait PDF/JSON
C0026;F0054;S1;Salwa Armani;Extrait PDF/JSON
C0027;F0055;S1;Hamdi Bouslah;Extrait PDF/JSON
C0028;F0056;S1;Ali Boulila;Extrait PDF/JSON
C0029;F0057;S1;Nacef Bouzguenda;Extrait PDF/JSON
C0030;F0058;S1;Zied Loukil;Extrait PDF/JSON
C0030;F0059;S1;Ferdaous Masmoudi;Extrait PDF/JSON
C0031;F0060;S1;Moslem Ben Dhaou;Extrait PDF/JSON
C0031;F0061;S1;Bilel Methnani;Extrait PDF/JSON
C0032;F0062;S1;Mourad Bouabdallah;Extrait PDF/JSON
C0033;F0063;S1;Aymen Talbi;Extrait PDF/JSON
C0034;F0064;S1;Dorra Kammoun;Extrait PDF/JSON
C0034;F0065;S1;Oussama Romdhane;Extrait PDF/JSON
C0035;F0066;S1;Karim Jouini;Extrait PDF/JSON
C0035;F0067;S1;Jihed Othmani;Extrait PDF/JSON
C0036;F0068;S1;Mokhles Masmoudi;Extrait PDF/JSON
C0037;F0069;S1;Anis Ben Arbia;Extrait PDF/JSON
C0038;F0070;S1;Nidhal Abidi;Extrait PDF/JSON
C0038;F0071;S1;Mohamed Selim Hadrich;Extrait PDF/JSON
C0038;F0072;S1;Nadhir Abidi;Extrait PDF/JSON
C0038;F0073;S1;Seyf Hamdaoui;Extrait PDF/JSON
C0039;F0074;S1;Amel Besbes;Extrait PDF/JSON
C0039;F0075;S1;Kais Aribi;Extrait PDF/JSON
C0040;F0076;S1;Mohamed Salouati;Extrait PDF/JSON
C0041;F0077;S1;Mehdi Mazlout;Extrait PDF/JSON
C0041;F0078;S1;Walid Saghari;Extrait PDF/JSON
C0042;F0079;S1;Marwen Amamou;Extrait PDF/JSON
C0043;F0080;S1;Imed Abed;Extrait PDF/JSON
C0043;F0081;S1;Fadoua Ouerdiane;Extrait PDF/JSON
C0044;F0082;S1;Mohamed Ali Afif;Extrait PDF/JSON
C0045;F0083;S1;Houssem Maiza;Extrait PDF/JSON
C0046;F0084;S1;Rochdi Zaghden;Extrait PDF/JSON
C0046;F0085;S1;Walid Dieff Allah;Extrait PDF/JSON
C0047;F0086;S1;Adam Chebbi;Extrait PDF/JSON
C0047;F0087;S1;Khalil Ben Hamouda;Extrait PDF/JSON
C0048;F0088;S1;Hani Hamrouni;Extrait PDF/JSON
C0048;F0089;S1;Davide David;Extrait PDF/JSON
C0049;F0090;S1;Ferid Kamel;Extrait PDF/JSON
C0049;F0091;S1;Mohamed Abul Heija;Extrait PDF/JSON
C0050;F0092;S1;Walid Meskine;Extrait PDF/JSON
C0051;F0093;S1;Aida Rafrafi;Extrait PDF/JSON
C0052;F0094;S1;Achraf Jamli;Extrait PDF/JSON
C0053;F0095;S1;Abdelmajid Mathlouthi;Extrait PDF/JSON
C0053;F0096;S1;Karim Yahyaoui;Extrait PDF/JSON
C0054;F0097;S1;Hamdi Ben Amor;Extrait PDF/JSON
C0055;F0098;S1;Ali Bouslama;Extrait PDF/JSON
C0056;F0099;S1;Khaled Aouij;Extrait PDF/JSON
C0057;F0100;S1;Ahmed Ben Hamida;Extrait PDF/JSON
C0058;F0101;S1;Omar Chahata;Extrait PDF/JSON
C0058;F0102;S1;Ahmed Rouetbi;Extrait PDF/JSON
C0059;F0103;S1;Mohamed Ghmadh;Extrait PDF/JSON
C0060;F0104;S1;Abdelaziz Bahri;Extrait PDF/JSON
C0061;F0105;S1;Naiim Lamloumi;Extrait PDF/JSON
C0062;F0106;S1;Tarak Nachnouchi;Extrait PDF/JSON
C0063;F0107;S1;Mohamed Methnani;Extrait PDF/JSON
C0064;F0108;S1;Aymen Tleilia;Extrait PDF/JSON
C0064;F0109;S1;Hatem Lefi;Extrait PDF/JSON
C0065;F0110;S1;Sawssen Bellaj;Extrait PDF/JSON
C0066;F0111;S1;Walid Balti;Extrait PDF/JSON
C0066;F0112;S1;Abderahmen Mahmoudi;Extrait PDF/JSON
C0067;F0113;S2;Takieddine Ben Messaoud;Extrait PDF/JSON
C0068;F0114;S2;Sami Tounsi;Extrait PDF/JSON
C0068;F0115;S2;Zied Ouerdani;Extrait PDF/JSON
C0069;F0116;S2;Seifeddine Ben Hamouda;Extrait PDF/JSON
C0070;F0117;S2;Zohra Slim;Extrait PDF/JSON
C0070;F0118;S2;Karim Beguir;Extrait PDF/JSON
C0071;F0119;S2;Ahmed Ben Achballah;Extrait PDF/JSON
C0071;F0120;S2;Bassem Boujelben;Extrait PDF/JSON
C0071;F0121;S2;Zied Chabchoub;Extrait PDF/JSON
C0071;F0122;S2;Tarek Blaiech;Extrait PDF/JSON
C0071;F0123;S2;Mohamed Kallel;Extrait PDF/JSON
C0071;F0124;S2;Achraf Chabbouh;Extrait PDF/JSON
C0071;F0125;S2;Ahmed Ben Said;Extrait PDF/JSON
C0071;F0126;S2;Rateb Jabbar;Extrait PDF/JSON
C0072;F0127;S2;Amine Laaroussi;Extrait PDF/JSON
C0073;F0128;S2;Slim Ben Nasrsallah;Extrait PDF/JSON
C0073;F0129;S2;Jacer Omri;Extrait PDF/JSON
C0073;F0130;S2;Mohamed Ben Hadj Aissa;Extrait PDF/JSON
C0073;F0131;S2;Jihed Bibani;Extrait PDF/JSON
C0073;F0132;S2;Ben Messaoud TakiEddine;Extrait PDF/JSON
C0074;F0133;S2;Wala Kasmi;Extrait PDF/JSON
C0074;F0134;S2;Mohamed Ali Boumiza;Extrait PDF/JSON
C0075;F0135;S2;Issam Bellaj;Extrait PDF/JSON
