startup_id,founder_id,session,societe,fondateur
C0001,F0001,03/2019,Datavora,Hadi Zaher
C0001,F0002,03/2019,Datavora,Oussama Messaoud
C0002,F0003,03/2019,Enova Robotics,Anis Sahbani
C0002,F0004,03/2019,Enova Robotics,Philippe Bidaud
C0002,F0005,03/2019,Enova Robotics,Christophe Grand
C0003,F0006,03/2019,Ezzayra Solutions,Yasser Bououd
C0004,F0007,03/2019,Polysmart,Ahmed Cheikhrouhou
C0004,F0008,03/2019,Polysmart,Haroun Bouchrit
C0005,F0009,03/2019,Be Wireless Solutions,Karim Kharrat
C0005,F0010,03/2019,Be Wireless Solutions,Nizar Ghram
C0005,F0011,03/2019,Be Wireless Solutions,Sofiene Ghram
C0006,F0012,03/2019,Medilsys,Anis Ghorbel
C0006,F0013,03/2019,Medilsys,Najmeddine Nouri
C0006,F0014,03/2019,Medilsys,Sofiene Ghorbel
C0007,F0015,03/2019,Roamsmart,Walid Chamekh
C0007,F0016,03/2019,Roamsmart,Mehdi Triki
C0008,F0017,03/2019,Vitalight Lab,Khaoula Ben Slimane
C0008,F0018,03/2019,Vitalight Lab,Ilyes Gouja
C0009,F0019,03/2019,Dabchy,Ghazi Ketata
C0009,F0020,03/2019,Dabchy,Ameni Mansouri
C0009,F0021,03/2019,Dabchy,Oussama Mahjoub
C0010,F0022,03/2019,Next Gen Corp,Moez Lachned
C0010,F0023,03/2019,Next Gen Corp,Ahmed Nabli
C0011,F0024,03/2019,Nostatik Media,Khaled Frad
C0011,F0025,03/2019,Nostatik Media,Ramzi Mrad
C0012,F0026,03/2019,Paypos Tunisie,Khatib Chakchouk
C0013,F0027,03/2019,Foua Shop,Karim Skik
C0014,F0028,03/2019,Mitigan,Omar El Matri
C0014,F0029,03/2019,Mitigan,Ahmed Farhat
C0014,F0030,03/2019,Mitigan,Kais Laouiti
C0014,F0031,03/2019,Mitigan,Elyes Jouini
C0014,F0032,03/2019,Mitigan,Hemdene Ben Othmane
C0014,F0033,03/2019,Mitigan,Mohamed Ali Elloumi
C0015,F0034,04/2019,GoMyCode,Yahya Bouhlel
C0015,F0035,04/2019,GoMyCode,Amine Bouhlel
C0016,F0036,04/2019,Mass SA,Ramla Jarrar
C0016,F0037,04/2019,Mass SA,Firas Jabloun
C0017,F0038,04/2019,STE Kaoun,Nebras Jemel
C0017,F0039,04/2019,STE Kaoun,Anis Kallel
C0017,F0040,04/2019,STE Kaoun,Rostom Bouazizi
C0018,F0041,04/2019,Apprentus Tunisie,Gaetan Deremince
C0018,F0042,04/2019,Apprentus Tunisie,Marius Andra
C0019,F0043,04/2019,Bus Software,Amor Sahnoun
C0019,F0044,04/2019,Bus Software,Makrem Erguez
C0020,F0045,04/2019,ilboursa.com,Ismail Ben Sassi
C0020,F0046,04/2019,ilboursa.com,Rodolphe Villaes
C0021,F0047,04/2019,Methania Industries,Selim Kanzari
C0021,F0048,04/2019,Methania Industries,Tahar Azizi
C0022,F0049,04/2019,Wattnow,Issam Smaali
C0023,F0050,04/2019,TechAccessibility,Mohamed Nour Ben Yahia
C0024,F0051,04/2019,Taysir Solutions Tunisia,Mohamed Belghith
C0024,F0052,04/2019,Taysir Solutions Tunisia,Fakhreddine Hachfi
C0025,F0053,04/2019,UniQ Soft Technology,Bechir Yakhlef
C0026,F0054,04/2019,Armani Arabic Academy,Salwa Armani
C0027,F0055,04/2019,Dqlick,Hamdi Bouslah
C0028,F0056,04/2019,KNSD,Ali Boulila
C0029,F0057,04/2019,MedCREtech,Nacef Bouzguenda
C0030,F0058,04/2019,Novel-Ti,Zied Loukil
C0030,F0059,04/2019,Novel-Ti,Ferdaous Masmoudi
C0031,F0060,04/2019,PEAK Technologies,Moslem Ben Dhaou
C0031,F0061,04/2019,PEAK Technologies,Bilel Methnani
C0032,F0062,04/2019,Smart and Clean,Mourad Bouabdallah
C0033,F0063,04/2019,Tadeco IT,Aymen Talbi
C0034,F0064,04/2019,TechAbility,Dorra Kammoun
C0034,F0065,04/2019,TechAbility,Oussama Romdhane
C0035,F0066,04/2019,Expensya (Pepino Tech),Karim Jouini
C0035,F0067,04/2019,Expensya (Pepino Tech),Jihed Othmani
C0036,F0068,04/2019,Smart Mobility,Mokhles Masmoudi
C0037,F0069,04/2019,Educanet,Anis Ben Arbia
C0038,F0070,04/2019,Study.tn,Nidhal Abidi
C0038,F0071,04/2019,Study.tn,Mohamed Selim Hadrich
C0038,F0072,04/2019,Study.tn,Nadhir Abidi
C0038,F0073,04/2019,Study.tn,Seyf Hamdaoui
C0039,F0074,04/2019,Tunisie Matériel Roulant,Amel Besbes
C0039,F0075,04/2019,Tunisie Matériel Roulant,Kais Aribi
C0040,F0076,04/2019,Embedded Solutions and Advanced Technology,Mohamed Salouati
C0041,F0077,04/2019,Inotek engineering,Mehdi Mazlout
C0041,F0078,04/2019,Inotek engineering,Walid Saghari
C0042,F0079,04/2019,Paymee,Marwen Amamou
C0043,F0080,04/2019,Healthcare Anywhere,Imed Abed
C0043,F0081,04/2019,Healthcare Anywhere,Fadoua Ouerdiane
C0044,F0082,04/2019,TunRooms,Mohamed Ali Afif
C0045,F0083,04/2019,Galactech,Houssem Maiza
C0046,F0084,04/2019,Domodar,Rochdi Zaghden
C0046,F0085,04/2019,Domodar,Walid Dieff Allah
C0047,F0086,04/2019,Vynd,Adam Chebbi
C0047,F0087,04/2019,Vynd,Khalil Ben Hamouda
C0048,F0088,04/2019,Empire communication,Hani Hamrouni
C0048,F0089,04/2019,Empire communication,Davide David
C0049,F0090,04/2019,3D Forge,Ferid Kamel
C0049,F0091,04/2019,3D Forge,Mohamed Abul Heija
C0050,F0092,04/2019,Africa Flying and Engineering,Walid Meskine
C0051,F0093,04/2019,Ticket Communication TICOM,Aida Rafrafi
C0052,F0094,04/2019,TeTa concept,Achraf Jamli
C0053,F0095,04/2019,WeMake,Abdelmajid Mathlouthi
C0053,F0096,04/2019,WeMake,Karim Yahyaoui
C0054,F0097,04/2019,Micro Device Tunisia,Hamdi Ben Amor
C0055,F0098,04/2019,Kiwi Softwares,Ali Bouslama
C0056,F0099,04/2019,Tunisie Co,Khaled Aouij
C0057,F0100,04/2019,Best Way,Ahmed Ben Hamida
C0058,F0101,04/2019,ComEngineering,Omar Chahata
C0058,F0102,04/2019,ComEngineering,Ahmed Rouetbi
C0059,F0103,04/2019,Testafid+,Mohamed Ghmadh
C0060,F0104,04/2019,Afrique Charbon,Abdelaziz Bahri
C0061,F0105,04/2019,Ironhoster,Naiim Lamloumi
C0062,F0106,04/2019,Boostiny,Tarak Nachnouchi
C0063,F0107,04/2019,Forevermo (Paravoisin),Mohamed Methnani
C0064,F0108,04/2019,Supply Air,Aymen Tleilia
