session;societe;secteur;decision;source;flags
01/2020;Optimalogistic;;label_accorde;pdf-session;
01/2020;Next Gen Solution / UnFrauded;;label_accorde;pdf-session;
01/2020;Digital2Value;;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
01/2020;STE ESKY PROFESSIONAL SERVICES LIMITED;Services;label_accorde;pdf-session;societe_non_identifiee
01/2020;Sentinel Data;;label_accorde;pdf-session;
01/2020;DCX;Edtech;label_accorde;pdf-session;
01/2020;Paygrant;;label_accorde;pdf-session;
01/2020;AbrarCom Analytics;;label_accorde;pdf-session;
01/2020;Prefabulous;;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
01/2020;Societe Tunisian Online Teachers;Edtech;label_accorde;pdf-session;
01/2020;GLOLIX TUNISIA La relation client à l’ère du digital;;prelabel_accorde;pdf-session;
01/2020;Support de coupe a couvercle automatique;;prelabel_accorde;pdf-session;
01/2020;IJA SOLUTION;;prelabel_accorde;pdf-session;
01/2020;QUERMES;Iot;prelabel_accorde;pdf-session;
01/2020;Doqtoor;;prelabel_accorde;pdf-session;
01/2020;Sun Tracker;;prelabel_accorde;pdf-session;
01/2020;DaryDar;E-Commerce;prelabel_accorde;pdf-session;
01/2020;Zcare;;prelabel_accorde;pdf-session;
01/2020;Examido;Edtech;prelabel_accorde;pdf-session;
01/2020;Consulti;;prelabel_accorde;pdf-session;
01/2020;DRYSEK;Agritech;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
01/2020;VDOC Projet de valorisation des coproduits issus de l'engraissement du thon rouge (Oleomar Start- up Projet);;label_accorde;pdf-session;
01/2020;Universal Technology of infinite keys;;label_accorde;pdf-session;
01/2020;Tuni'AR;;inconnu;pdf-session;"resultat_manquant;secteur_absent;decision_inconnue"
01/2022;RAIS / SMART QUALITY GATE;Business;label_accorde;pdf-session;
01/2022;Kinko;Mobility;label_accorde;pdf-session;
01/2022;KatYos;;label_accorde;pdf-session;
01/2022;Lavocato;Business;label_accorde;pdf-session;
01/2022;ArtForNess;;label_accorde;pdf-session;fondateurs_absents
01/2022;GoPayzi;Fintech;label_accorde;pdf-session;
01/2022;Above Creation;Business;label_accorde;pdf-session;
01/2022;Tomobile Store;Mobility;label_accorde;pdf-session;fondateurs_absents
01/2022;Ostool;Mobility;label_accorde;pdf-session;
01/2022;Karriery;Edtech;prelabel_accorde;pdf-session;
01/2022;kawther Mouelhi;Healthtech;prelabel_accorde;pdf-session;"fondateurs_ambigus;societe_reconstruite"
01/2022;Iysaal;Business;prelabel_accorde;pdf-session;
01/2022;Survey Fibre & Civil;Services;prelabel_accorde;pdf-session;
01/2022;Tryppy;;prelabel_accorde;pdf-session;
01/2022;Deepth;;prelabel_accorde;pdf-session;
01/2022;maginater;;prelabel_accorde;pdf-session;
01/2022;Hayat Tech;;prelabel_accorde;pdf-session;
01/2022;Géo Solutions Technologie;Mobility;retrait;pdf-session;fondateurs_ambigus
01/2022;Expensya Tunisie;Fintech;retrait;pdf-session;
01/2022;Fouta Tunisia;;retrait;pdf-session;fondateurs_ambigus
01/2022;BYEISSA;;retrait;pdf-session;
01/2023;Bambinosit;Consumer;label_accorde;pdf-session;fondateurs_absents
01/2023;Dooda;Foodtech;label_accorde;pdf-session;
01/2023;Crop's Talk;Agritech;label_accorde;pdf-session;
01/2023;Pixii Motors;Mobility;label_accorde;pdf-session;fondateurs_ambigus
01/2023;HawKar;Mobility;label_accorde;pdf-session;
01/2023;IASOTWIN;Healthtech;label_accorde;pdf-session;
01/2023;Smart For Green: Farm and;Agritech;prelabel_accorde;pdf-session;
01/2023;Forest Fire Protection;;inconnu;pdf-session;"resultat_manquant;secteur_absent;decision_inconnue"
01/2023;DigiMove;Edtech;prelabel_accorde;pdf-session;
01/2023;Boky;Traveltech;prelabel_accorde;pdf-session;
01/2023;Train Your Mind;Healthtech;prelabel_accorde;pdf-session;
01/2023;Mouqawel;Business;prelabel_accorde;pdf-session;
01/2023;Link Park;Business;prelabel_accorde;pdf-session;
01/2023;URBAN DANCE;Wellness;label_refuse;pdf-session;fondateurs_ambigus
01/2023;Hbibty Market;Foodtech;label_refuse;pdf-session;
01/2023;BusinessChat;Business;label_refuse;pdf-session;societe_non_identifiee
01/2023;YASLINE ENGINEERING;Business;label_refuse;pdf-session;
01/2023;LIGHTRESA;Traveltech;label_refuse;pdf-session;
01/2023;KLAP;Ad Tech And Creative Tech;label_refuse;pdf-session;
01/2023;C'MIND C'MIND;Healthtech;label_accorde;pdf-session;
01/2023;IZ AGRI IZAGRI;Agritech;label_accorde;pdf-session;
01/2023;IZICLAIM IZICLAIM;;label_accorde;pdf-session;
01/2023;WAF WAF HOUSE;;label_accorde;pdf-session;
01/2023;Dyno & Motiva Systems dyno;Fintech;label_accorde;pdf-session;
01/2023;Digital city innovation;Social Business;label_accorde;pdf-session;fondateurs_ambigus
01/2023;Thnity Maas Thnity;Mobility;label_accorde;pdf-session;
01/2023;OPKODERLABS  Taskflow;Mobility;label_accorde;pdf-session;
01/2023;YARI PROJECT YARI;Healthtech;label_accorde;pdf-session;
01/2023;WHEELZ PRO'FIT;Mobility;label_accorde;pdf-session;
01/2023;XTENDPLEX S A R L XTENDPLEX;Fintech;retrait;pdf-session;
01/2023;Polysmart Polysmart;;retrait;pdf-session;
01/2024;Catchy;Services;label_accorde;pdf-session;
01/2024;Atome Academy;Edtech;label_accorde;pdf-session;
01/2024;ALIDADE;Business Software And Services;label_accorde;pdf-session;
01/2024;Hi Interns;Business Software And Services;label_accorde;pdf-session;
01/2024;Pedago;Edtech;label_accorde;pdf-session;
01/2024;FlexyFleet;Mobility;label_accorde;pdf-session;
01/2024;kortable;Ad Tech And Creative Tech;label_accorde;pdf-session;
01/2024;COSMETIQUE BIO-PHYTO;Healthtech;label_accorde;pdf-session;
01/2024;Caire Health AI;Healthtech;prelabel_accorde;pdf-session;
01/2024;officent;Business Software And Services;prelabel_accorde;pdf-session;fondateurs_ambigus
01/2024;twinnoverse;Advanced Manufacturing;prelabel_accorde;pdf-session;
01/2024;InnoDeep;Healthtech;prelabel_accorde;pdf-session;
01/2024;Qualimaker;Business Software And Services;prelabel_accorde;pdf-session;
01/2024;Ecofactoriz eco Gwatring;Advanced Manufacturing;prelabel_accorde;pdf-session;
01/2024;VISIMEDIA;Services;label_refuse;pdf-session;
01/2024;Quokka Agency;Services;label_refuse;pdf-session;
01/2024;Karthago Machine;Ad Tech And Creative Tech;label_refuse;pdf-session;
01/2024;Everwed;Commerce And Shopping;label_refuse;pdf-session;
01/2024;lebondeal;Commerce And Shopping;prelabel_refuse;pdf-session;
01/2024;AIPenetraGuard;;prelabel_refuse;pdf-session;
01/2024;Discover Tunisia;Ad Tech And Creative Tech;prelabel_refuse;pdf-session;
01/2024;Arsek dripbox Arsek dripbox;Agritech;label_accorde;pdf-session;
01/2024;OCTOMIRO BRAIN-TEK;;label_accorde;pdf-session;
01/2024;COHEALTH Saydalid;Healthtech;label_accorde;pdf-session;
01/2024;VLSoft Virtu-Lab;Edtech;label_accorde;pdf-session;
01/2024;Code Pro Qr Smarting Serve;;label_accorde;pdf-session;
01/2024;D Customized Solution;;label_accorde;pdf-session;fondateurs_ambigus
01/2024;Société;;inconnu;pdf-session;"societe_parasite;decision_inconnue;societe_non_identifiee"
01/2024;Uniq Soft Technology;Business Software and services;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
01/2024;Rental Ride;;inconnu;pdf-session;"decision_inconnue;fondateurs_ambigus"
01/2024;N.G TECHNOLOGIES;Business Software and services;inconnu;pdf-session;"resultat_manquant;decision_inconnue"
01/2025;Vie verte BSF;Agritech;label_accorde;pdf-session;
01/2025;Docic;Healthtech;label_accorde;pdf-session;
01/2025;1FOR1 LEARNING;Edtech;label_accorde;pdf-session;
01/2025;Amperon Technologies;Advanced Manufacturing;label_accorde;pdf-session;
01/2025;Artizone;Commerce And Shopping;label_accorde;pdf-session;
01/2025;Pass excellence;Business Software And Services;label_accorde;pdf-session;
01/2025;Nativeads Ai;Ad Tech And Creative Tech;label_accorde;pdf-session;
01/2025;Otravers;Commerce And Shopping;label_accorde;pdf-session;
01/2025;Readdly;Edtech;prelabel_accorde;pdf-session;
01/2025;Dari;Real Estate Tech;prelabel_accorde;pdf-session;
01/2025;Spirunat;Healthtech;label_refuse;pdf-session;
01/2025;E-edu;Edtech;label_refuse;pdf-session;
01/2025;Glamour;Wellness;label_refuse;pdf-session;
01/2025;HOUKOUK.TECH;Fintech;label_refuse;pdf-session;
01/2025;EDUCARE;Edtech;label_refuse;pdf-session;
01/2025;VIRTUAL ERA;Business Software And Services;label_refuse;pdf-session;
01/2025;Thagamuta Agro;Foodtech;label_refuse;pdf-session;
01/2025;Esticharati;Business Software And Services;label_refuse;pdf-session;
01/2025;Tale Platform;Business Software And Services;label_refuse;pdf-session;
01/2025;PERF ANALYSIS CONSULTING;Business Software And Services;label_refuse;pdf-session;
01/2025;SOFTAVERA TUNISIE;Business Software And Services;label_refuse;pdf-session;
01/2025;VYZYOSCHOOL VYZYOSCHOOL;Edtech;label_accorde;pdf-session;
01/2025;ECOCODE ECOCODE ENGINEERING linkbook Link4book25;Business Software and services;label_accorde;pdf-session;
01/2025;Paytea PayTea Production d'additifs alimentaires;Business Software and services;label_accorde;pdf-session;
01/2025;Healthy Animal World animale et consulting;Agritech;label_accorde;pdf-session;
01/2026;IMMUNO KAAR (IMMU CARDER);HealthTech;label_accorde;compte-rendu-manuel;
01/2026;Arcube;Fintech;label_accorde;compte-rendu-manuel;
01/2026;GoToGreen;Environment;label_accorde;compte-rendu-manuel;
01/2026;OTARI;Commerce and shopping;prelabel_accorde;compte-rendu-manuel;
