annee,region_harmonisee,part_pct,note_source
2019,Grand Tunis,75.4,Région publiée sous cette appellation
2019,Nord / Nord-Est,5.2,Le rapport 2019 indique Nord
2019,Nord-Ouest,2.0,
2019,Centre-Ouest,2.0,
2019,Centre-Est,10.5,
2019,Sud-Est,3.7,
2019,Sud-Ouest,1.2,
2020,Grand Tunis,70.5,Région publiée sous cette appellation
2020,Nord / Nord-Est,6.6,Le rapport 2020 indique Nord
2020,Nord-Ouest,1.5,
2020,Centre-Ouest,2.6,
2020,Centre-Est,10.8,
2020,Sud-Est,6.7,
2020,Sud-Ouest,1.3,
2021,Grand Tunis,70.09,Région publiée sous cette appellation
2021,Nord / Nord-Est,6.32,Le rapport 2021 indique Nord Est
2021,Nord-Ouest,1.37,
2021,Centre-Ouest,2.05,
2021,Centre-Est,13.85,
2021,Sud-Est,5.47,
2021,Sud-Ouest,0.85,
