month_num,candidatures,labels,preLabels,sessions,positive,label_rate,positive_share_descriptive
1,241,110,48,7,158,45.643153526970956,65.56016597510373
2,234,119,53,7,172,50.85470085470085,73.50427350427351
3,243,106,48,8,154,43.62139917695473,63.37448559670782
4,293,124,52,7,176,42.32081911262799,60.068259385665534
5,262,106,62,7,168,40.458015267175576,64.12213740458014
6,241,94,50,7,144,39.004149377593365,59.75103734439834
7,243,102,52,7,154,41.9753086419753,63.37448559670782
8,221,99,47,7,146,44.79638009049774,66.06334841628959
9,195,93,51,7,144,47.69230769230769,73.84615384615385
10,269,114,52,7,166,42.37918215613383,61.71003717472119
11,260,120,61,7,181,46.15384615384615,69.61538461538461
12,256,124,47,7,171,48.4375,66.796875
