session,candidatures,labels,preLabels,taux,tauxExact,echec,echecExact,commentaires,month_num,year,taux_num,positive,label_rate_recomputed,positive_share_descriptive,rate_gap,retraits
03/2019,14,12,0,85.7,85.71428571428571,14.3,14.3,,3,2019,85.7,12,85.71428571428571,85.71428571428571,0,0
04/2019,52,33,0,63.5,63.46153846153846,36.5,36.5,,4,2019,63.5,33,63.46153846153846,63.46153846153846,0,0
05/2019,30,15,8,50.0,50.0,50.0,50.0,,5,2019,50.0,23,50.0,76.66666666666667,0,0
06/2019,32,14,8,43.8,43.75,56.2,56.2,,6,2019,43.8,22,43.75,68.75,0,0
07/2019,29,14,8,48.3,48.275862068965516,51.7,51.7,,7,2019,48.3,22,48.275862068965516,75.86206896551724,0,0
08/2019,28,20,5,71.4,71.42857142857143,28.6,28.59999999999999,,8,2019,71.4,25,71.42857142857143,89.28571428571429,0,0
09/2019,27,15,6,55.6,55.55555555555556,44.4,44.39999999999999,,9,2019,55.6,21,55.55555555555556,77.77777777777779,0,0
10/2019,39,23,5,59.0,58.97435897435898,41.0,41.0,,10,2019,59.0,28,58.97435897435898,71.7948717948718,0,0
11/2019,41,17,10,41.5,41.46341463414634,58.5,58.5,,11,2019,41.5,27,41.46341463414634,65.85365853658537,0,0
12/2019,42,23,8,54.8,54.761904761904766,45.2,45.20000000000001,,12,2019,54.8,31,54.761904761904766,73.80952380952381,0,0
01/2020,42,18,11,42.9,42.857142857142854,57.1,57.099999999999994,,1,2020,42.9,29,42.857142857142854,69.04761904761905,0,0
02/2020,41,22,11,53.7,53.65853658536586,46.3,46.3,,2,2020,53.7,33,53.65853658536586,80.48780487804879,0,0
03/2020,40,16,10,40.0,40.0,60.0,60.0,,3,2020,40.0,26,40.0,65.0,0,0
04/2020,45,20,7,44.4,44.44444444444444,55.6,55.60000000000001,,4,2020,44.4,27,44.44444444444444,60.0,0,1
05/2020,32,12,10,37.5,37.5,62.5,62.5,,5,2020,37.5,22,37.5,68.75,0,1
06/2020,30,12,5,40.0,40.0,60.0,60.0,,6,2020,40.0,17,40.0,56.666666666666664,0,0
07/2020,51,18,7,35.3,35.294117647058826,64.7,64.7,,7,2020,35.3,25,35.294117647058826,49.01960784313725,0,2
08/2020,34,17,6,50.0,50.0,50.0,50.0,,8,2020,50.0,23,50.0,67.64705882352942,0,0
