Indicateur;Valeur;Statut
totalFounders;4764;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
femmesFounders;1153;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
hommesFounders;3611;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctFemmes;24.21;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctHommes;75.79;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
ratioHF;3.13;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
totalStartups;2630;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
startupsWithWomen;915;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctStartupsWithWomen;34.79;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
allWomenStartups;312;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctAllWomenStartups;11.86;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
allMenStartups;1403;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctAllMenStartups;53.35;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
tauxSuccesEquipesMixtes;54.6;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
tauxSuccesEquipesMasculines;47.2;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
tauxConversionPrelabelMixtes;84.2;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
tauxConversionPrelabelMasculines;78.5;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctFemmes2019;18.4;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
pctFemmes2026;31.4;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
gainPointsPct;13.0;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
progressionRelative;70.65;"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
source;"pasted_content_18.txt — estimations calibrées sur les 85 PVs; non présentes comme variable dans Excel";"Estimation fournie; non recalculée depuis les trois nouveaux PDF"
