session,candidatures,labels,preLabels,taux,tauxExact,echec,echecExact,commentaires,month_num,year,taux_num,positive,label_rate_recomputed,positive_share_descriptive,rate_gap
01/2020,38,18,11,47.4,47.368421052631575,52.6,52.631579,14 Labels et 4 Prelabels à Labels,1,2020,47.4,29,47.368421052631575,76.31578947368422,0.03157894736842337
01/2021,36,24,7,66.7,66.66666666666666,33.3,33.333333,15 Labels et 9 Prelabels à Labels,1,2021,66.7,31,66.66666666666666,86.11111111111111,0.03333333333334565
01/2022,38,15,9,39.5,39.473684210526315,60.5,60.526316,9 Labels et 6 Prelabels à Labels,1,2022,39.5,24,39.473684210526315,63.1578947368421,0.02631578947368496
01/2023,26,16,6,61.5,61.53846153846154,38.5,38.461538,6 Labels et 10  Prélabels à Labels,1,2023,61.5,22,61.53846153846154,84.61538461538461,-0.0384615384615401
01/2024,33,14,6,42.4,42.42424242424242,57.6,57.575758,8 Labels et 6 Prélabel à Label,1,2024,42.4,20,42.42424242424242,60.60606060606061,-0.02424242424242351
01/2025,39,13,2,33.3,33.33333333333333,66.7,66.666667,13 Labels et 05 Prélabels à Labels,1,2025,33.3,15,33.33333333333333,38.46153846153847,-0.03333333333333144
01/2026,31,10,7,32.3,32.25806451612903,67.7,67.741935,03 Labels et 06 Prélabels à Labels,1,2026,32.3,17,32.25806451612903,54.83870967741935,0.04193548387096513
02/2020,32,22,11,68.8,68.75,31.2,31.25,13 Labels et 9 Prelabels à Labels,2,2020,68.8,33,68.75,103.125,0.04999999999999716
02/2021,41,25,10,61.0,60.97560975609756,39.0,39.02439,18 Labels et 7 Prelabels à Labels,2,2021,61.0,35,60.97560975609756,85.36585365853658,0.024390243902438158
02/2022,18,12,3,66.7,66.66666666666666,33.3,33.333333,8 Labels et 4 Prélabels à Labels,2,2022,66.7,15,66.66666666666666,83.33333333333334,0.03333333333334565
02/2023,33,18,11,54.5,54.54545454545454,45.5,45.454545,7 Labels et 11 Prélabels à Labels,2,2023,54.5,29,54.54545454545454,87.87878787878788,-0.04545454545453964
02/2024,33,9,6,27.3,27.27272727272727,72.7,72.727273,4 Labels et 5 Prélabel à Label,2,2024,27.3,15,27.27272727272727,45.45454545454545,0.02727272727273089
02/2025,41,13,9,31.7,31.70731707317073,68.3,68.292683,13 Labels et 04 Prélabels à Labels,2,2025,31.7,22,31.70731707317073,53.65853658536586,-0.007317073170732158
02/2026,36,20,3,55.6,55.55555555555556,44.4,44.444444,10 Labels et 11 Prélabels à Labels,2,2026,55.6,23,55.55555555555556,63.888888888888886,0.04444444444444429
03/2019,16,12,0,75.0,75.0,25.0,25.0,2 ajourné à la session suivante,3,2019,75.0,12,75.0,75.0,0.0
03/2020,35,16,10,45.7,45.714285714285715,54.3,54.285714,12 Labels et 4 Prelabels à Labels,3,2020,45.7,26,45.714285714285715,74.28571428571429,-0.014285714285712459
03/2021,41,25,8,61.0,60.97560975609756,39.0,39.02439,12 Labels et 13 Prelabels à Labels,3,2021,61.0,33,60.97560975609756,80.48780487804879,0.024390243902438158
03/2022,21,14,5,66.7,66.66666666666666,33.3,33.333333,5 Labels et 9 Prélabels à Labels,3,2022,66.7,19,66.66666666666666,90.47619047619048,0.03333333333334565
03/2023,37,14,6,37.8,37.83783783783784,62.2,62.162162,8 Labels et 5 Prélabels à Labels,3,2023,37.8,20,37.83783783783784,54.054054054054056,-0.03783783783784145
03/2024,31,6,7,19.4,19.35483870967742,80.6,80.645161,3 Labels et 4 Prélabel à Label,3,2024,19.4,13,19.35483870967742,41.935483870967744,0.04516129032257865
03/2025,21,6,5,28.6,28.57142857142857,71.4,71.428571,06 Labels et 0 Prélabels à Labels,3,2025,28.6,11,28.57142857142857,52.38095238095239,0.028571428571432023
03/2026,41,13,7,31.7,31.70731707317073,68.3,68.292683,10 Labels et 03 Prélabels à Labels,3,2026,31.7,20,31.70731707317073,48.78048780487805,-0.007317073170732158
04/2019,51,33,0,64.7,64.70588235294117,35.3,35.294118,1 ajourné à la session suivante,4,2019,64.7,33,64.70588235294117,64.70588235294117,-0.005882352941171121
04/2020,40,20,7,50.0,50.0,50.0,50.0,17 Labels et 3 Prelabels à Labels,4,2020,50.0,27,50.0,67.5,0.0
