company_id;name;sector;sessions
C_;فرید حول العالم;"Autre contenu créatif; Business Software and services; Communication services; Health Tech; Mobility";"07/2020; 07/2022; 11/2025; 12/2021"
C_10nar;10nar;E-commerce;07/2020
C_123booking;123booking;TravelTech;04/2024
C_1for1learning;1FOR1 LEARNING;EdTech;01/2025
C_1wayfm;1wayFM;Autre contenu créatif;07/2020
C_216bot;216Bot;Communicatio n services;11/2025
C_2bkinnovation;2BK Innovation;Environment;07/2021
C_2bmbusinessbuilderbymedsirat;2BM - Business Builder by MedSirat;Business Software and services;02/2024
C_2memachiningmanufacturingengineering;2ME | Machining & Manufacturing Engineering;Non renseigné;10/2019
C_2y2s;2Y2S;EdTech;05/2023
C_360tn;360TN;Retail;04/2026
C_3annn;3annn;Ad Tech and Creative Tech;07/2022
C_3dforge;3D Forge;Services;04/2019
C_3dreal;3D real;Services de communication;05/2021
C_3dsky;3DSky;EdTech;04/2021
C_3mal;لﻣﻋ 3MAL;Consumer products and services;09/2025
C_3mglobaloperationsassociates;3M GLOBAL OPERATIONS ASSOCIATES;Business Software & Services;05/2022
C_3ssoftwareandsecuritysolutions;3S : Software and Security Solutions;Non renseigné;03/2020
C_4inatechnologie;4InA Technologie;Energie;11/2020
C_7healthcare;7 healthcare;Health Tech;01/2021
C_7keema;7keema;"Cleantech; Non renseigné";"01/2021; 11/2019"
C_9arinitneditepardigitalworldsarl;9arini.tn (édité par Digital World SARL);EdTech;05/2019
C_9atratech;9atratech;Agritech;01/2026
C_9esmi;9esmi;EdTech;11/2024
C_a7yinicbmee;"""A7yini"" / CBM-EE";EdTech;04/2021
C_abajimcom;Abajim.com;EdTech;"09/2023; 10/2023"
C_abaudit;AB AUDIT;Business Software & Services;04/2022
C_abbkphysicsworks;ABBK Physicsworks;Ad Tech and Creative Tech;09/2022
C_abcdev;ABC Dev;Logiciel;01/2021
C_abcformation;ABC FORMATION;EdTech;05/2022
C_abneam;Abneam;Commerce Shopping;06/2022
C_abonofinex;ABONO\FINEX;Business Software;04/2021
